Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
workspace,application,first-party,base-frontend,0.9.0,runtime,root component,LGPL-3.0-or-later,pkg:npm/base-frontend@0.9.0,workspace/package.json,First-party repository component.
workspace,container,OCI container,nginxinc/nginx-unprivileged,alpine (not digest pinned),runtime,referenced runtime software,BSD-2-Clause (NGINX); container includes additional licenses,oci:nginxinc/nginx-unprivileged:alpine,workspace/Dockerfile,Production image serving the generated static site; packages inside the image are not expanded.
workspace,container,OCI container,node,22-alpine (not digest pinned),build,referenced build software,MIT (Node.js); container includes additional licenses,oci:node:22-alpine,workspace/Dockerfile,Builder base image; packages inside the image are not expanded.
workspace,application,npm CLI,pnpm,11.1.3,build,referenced build software,MIT,pkg:npm/pnpm@11.1.3,workspace/package.json and Dockerfile,Package manager pinned by packageManager and enabled through Corepack for the container build.
workspace,library,npm,@babel/code-frame,7.29.0,build,transitive build dependency,MIT,pkg:npm/%40babel/code-frame@7.29.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/compat-data,7.29.0,build,transitive build dependency,MIT,pkg:npm/%40babel/compat-data@7.29.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/core,7.29.0,build,transitive build dependency,MIT,pkg:npm/%40babel/core@7.29.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/generator,7.29.1,build,transitive build dependency,MIT,pkg:npm/%40babel/generator@7.29.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/helper-compilation-targets,7.28.6,build,transitive build dependency,MIT,pkg:npm/%40babel/helper-compilation-targets@7.28.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/helper-globals,7.28.0,build,transitive build dependency,MIT,pkg:npm/%40babel/helper-globals@7.28.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/helper-module-imports,7.28.6,runtime,transitive runtime dependency,MIT,pkg:npm/%40babel/helper-module-imports@7.28.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/helper-module-transforms,7.28.6,build,transitive build dependency,MIT,pkg:npm/%40babel/helper-module-transforms@7.28.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/helper-plugin-utils,7.28.6,build,transitive build dependency,MIT,pkg:npm/%40babel/helper-plugin-utils@7.28.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/helper-string-parser,7.27.1,build,transitive build dependency,MIT,pkg:npm/%40babel/helper-string-parser@7.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/helper-validator-identifier,7.28.5,build,transitive build dependency,MIT,pkg:npm/%40babel/helper-validator-identifier@7.28.5,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/helper-validator-option,7.27.1,build,transitive build dependency,MIT,pkg:npm/%40babel/helper-validator-option@7.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/helpers,7.28.6,build,transitive build dependency,MIT,pkg:npm/%40babel/helpers@7.28.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/plugin-syntax-jsx,7.28.6,build,transitive build dependency,MIT,pkg:npm/%40babel/plugin-syntax-jsx@7.28.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/plugin-syntax-typescript,7.28.6,build,transitive build dependency,MIT,pkg:npm/%40babel/plugin-syntax-typescript@7.28.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/plugin-transform-react-jsx-self,7.27.1,build,transitive build dependency,MIT,pkg:npm/%40babel/plugin-transform-react-jsx-self@7.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/plugin-transform-react-jsx-source,7.27.1,build,transitive build dependency,MIT,pkg:npm/%40babel/plugin-transform-react-jsx-source@7.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/runtime,7.28.6,runtime,transitive runtime dependency,MIT,pkg:npm/%40babel/runtime@7.28.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/template,7.28.6,build,transitive build dependency,MIT,pkg:npm/%40babel/template@7.28.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/traverse,7.29.0,build,transitive build dependency,MIT,pkg:npm/%40babel/traverse@7.29.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@babel/types,7.29.0,build,transitive build dependency,MIT,pkg:npm/%40babel/types@7.29.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@cesium/engine,25.0.0,runtime,transitive runtime dependency,Apache-2.0,pkg:npm/%40cesium/engine@25.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@cesium/wasm-splats,0.1.0-alpha.2,runtime,transitive runtime dependency,Apache-2.0,pkg:npm/%40cesium/wasm-splats@0.1.0-alpha.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@cesium/widgets,15.0.0,runtime,transitive runtime dependency,Apache-2.0,pkg:npm/%40cesium/widgets@15.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@codemirror/autocomplete,6.20.1,runtime,transitive runtime dependency,MIT,pkg:npm/%40codemirror/autocomplete@6.20.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@codemirror/commands,6.10.3,runtime,transitive runtime dependency,MIT,pkg:npm/%40codemirror/commands@6.10.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@codemirror/lang-angular,0.1.4,runtime,transitive runtime dependency,MIT,pkg:npm/%40codemirror/lang-angular@0.1.4,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@codemirror/lang-cpp,6.0.3,runtime,transitive runtime dependency,MIT,pkg:npm/%40codemirror/lang-cpp@6.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@codemirror/lang-css,6.3.1,runtime,transitive runtime dependency,MIT,pkg:npm/%40codemirror/lang-css@6.3.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@codemirror/lang-go,6.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/%40codemirror/lang-go@6.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@codemirror/lang-html,6.4.11,runtime,transitive runtime dependency,MIT,pkg:npm/%40codemirror/lang-html@6.4.11,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@codemirror/lang-java,6.0.2,runtime,transitive runtime dependency,MIT,pkg:npm/%40codemirror/lang-java@6.0.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@codemirror/lang-javascript,6.2.5,runtime,transitive runtime dependency,MIT,pkg:npm/%40codemirror/lang-javascript@6.2.5,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
